SKU,Wk1,Wk2,Wk3,Wk4,Wk5,Wk6,Wk7,Wk8,Wk9,Wk10,Wk11,Wk12,Wk13
562783,5600,5800,55,51,56,55,53,52,51,48,49,52,55
243678,2800,2400,34,400,31,33,35,33,29,28,31,22,30
112145,1,2,0,20,1,2,3,1,1,2,1,0,0
735267,20,11,10,21,10,10,13,9,8,10,13,10,10
889880,201,20,20,20,29,12,184,6,5,10,11,25,202
426820,223,240,233,227,231,236,226,222,214,218,225,228,234
289672,5,6,10,12,9,11,11,8,9,6,7,5,7
934287,568,550,555,561,562,540,535,540,541,543,530,556,551
116726,1785,1100,1564,1445,1323,1100,1150,1356,1704,1604,1678,1637,1624
935276,64,61,65,66,67,61,64,62,58,54,56,57,55
